Timestamp,Age Group,Gender,City or Town of Residence,Monthly Household Income Range,Household Size (Number input),Access to Vehicle,How often do you shop at supermarkets?,When do you usually shop?,How much do you typically spend on groceries per month? (Numeric input),Preferred payment method,Do you use any price comparison or shopping apps before buying?,Are you a loyalty card member for any store?,How much time do you usually spend during one shopping trip? (in minutes) (Numeric input),Which product categories do you frequently buy? (Select all that apply),Have you faced stock-outs while shopping?,(If yes) How frequently do you find your preferred items out of stock?,(If yes) How do you react when an item is out of stock?,(If yes) Which product categories are often out of stock in your experience? (Select all that apply),Do you check online for availability before visiting a store?,Are you willing to pre-order if items are out of stock?,What is the acceptable wait time for restocking (in days)? (Numeric input),Would you switch to another store if your preferred items are frequently out of stock?,Do you prefer shopping when offers are available?,Which offer types do you prefer?  (Select all that apply),Do offers influence your purchase decision?,"By what percentage do you typically increase the amount of money spent compared to your usual purchases? (For example, enter 20 if you spend 20% more during offers.)",Do you shop more frequently during offers?,Which categories do you prefer to buy during offers? (Select all that apply),What influences your purchase the most?,How would you describe your shopping style?,"On a scale of 1–5, how loyal are you to your preferred brands? (Ratings: 1 = Not at all, 5 = Very loyal)",Do you consider eco-friendliness when choosing a product?,How likely are you to switch to online shopping in the next 12 months? (% probability) (Numeric input: 0 to 100)
5/24/2025 21:27:47,18–25,Female,Coimbatore ,"Below ₹20,000",3,No,2–3 times a week,No fixed time,2500,UPI (Google Pay/PhonePe etc.),Yes,No,30,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Groceries, Dairy",No,Yes,3,Maybe,Yes,"Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,25,Not Sure,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,50
5/24/2025 22:55:30,46–60,Male,Namakkal,"₹70,001 – ₹1,00,000",4,Yes,Once a week,No fixed time,10000,Debit/Credit Card,No,No,50,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Order online,"Groceries, Dairy, Personal Care, Household Items, Fruits, Vegetables",No,Yes,5,Maybe,Yes,"Flat Discount, Cashback, Loyalty Points, Free Gifts",Strongly Agree,30,Yes,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,30
5/24/2025 23:03:05,26–35,Female,Trichy,"₹40,001 – ₹70,000",2,Yes,Daily,Evening,3000,Cash,Yes,Yes,15,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",No,,,,No,Yes,2,Yes,Yes,"Cashback, Free Gifts",Neutral,10,Not Sure,"Groceries, Fruits & Vegetables",Price,Impulsive (I shop based on what I see),4,Sometimes,30
5/26/2025 12:42:04,46–60,Female,Tiruppur,"₹20,000 – ₹40,000",1,No,Twice a month,Evening,1000,Cash,No,No,60,"Groceries, Snacks, Household Items, Fruits & Vegetables",Yes,Rarely,Switch to a different store,Groceries,No,Yes,7,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,20,Not Sure,"Snacks, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),5,Sometimes,5
5/26/2025 12:45:29,Under 18,Male,Chennai,"Below ₹20,000",5,No,Daily,No fixed time,500,Cash,Yes,No,120,"Snacks, Dairy, Beverages, Personal Care, Packaged Food",Yes,Frequently,Buy an alternative brand/product,"Snacks, Dairy, Beverages, Personal Care, Household Items",Yes,Yes,2,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,50,Not Sure,"Snacks, Personal Care",Brand,Impulsive (I shop based on what I see),3,Sometimes,75
5/26/2025 12:52:59,46–60,Male,Chennai,"Below ₹20,000",2,Yes,Daily,Morning,10000,Debit/Credit Card,No,Yes,30,"Beverages, Personal Care, Household Items, Fruits & Vegetables",No,,,"Snacks, Personal Care, Fruits",No,No,1,Yes,Sometimes,Buy 1 Get 1 Free,Strongly Agree,10,Yes,"Snacks, Beverages, Household Items",Price,Flexible (I have a list but am open to changes),5,No,25
5/26/2025 13:01:19,18–25,Female,Coimbatore ,"Below ₹20,000",4,Yes,Once a week,Evening,5000,Cash,No,No,20,"Groceries, Snacks, Personal Care, Household Items, Fruits & Vegetables",Yes,Rarely,Buy an alternative brand/product,"Groceries, Snacks",No,No,4,No,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,10,No,"Snacks, Beverages, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),4,Sometimes,10
5/26/2025 13:05:58,18–25,Female,Coimbatore ,Prefer not to say,3,Yes,Rarely,No fixed time,15000,Cash,Yes,Yes,45,"Groceries, Snacks, Dairy, Household Items, Fruits & Vegetables",Yes,Sometimes,Buy an alternative brand/product,"Groceries, Snacks, Dairy, Personal Care, Household Items, Fruits, Vegetables",Yes,Yes,1,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Neutral,5,Not Sure,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,0
5/26/2025 13:10:14,Under 18,Male,Namakkal ,"₹70,001 – ₹1,00,000",10,Yes,Twice a month,No fixed time,10000,Cash,No,Yes,10,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Order online,"Groceries, Fruits, Vegetables",Yes,No,2,Maybe,Sometimes,"Buy 1 Get 1 Free, Loyalty Points, Free Gifts",Neutral,50,No,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,45
5/26/2025 13:16:28,26–35,Female,Pollachi,"₹40,001 – ₹70,000",4,Yes,2–3 times a week,Morning,3500,UPI (Google Pay/PhonePe etc.),No,Yes,80,"Snacks, Dairy, Beverages, Fruits & Vegetables, Packaged Food",Yes,Rarely,Leave without buying,"Snacks, Dairy",No,Yes,6,Maybe,Sometimes,"Flat Discount, Cashback",Strongly Agree,40,Not Sure,"Snacks, Beverages, Fruits & Vegetables",Price,Impulsive (I shop based on what I see),5,Yes,10
5/26/2025 13:20:32,36–45,Male,Coimbatore,"₹70,001 – ₹1,00,000",6,Yes,Twice a month,Evening,7000,Debit/Credit Card,Yes,Yes,90,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",No,,,"Groceries, Snacks, Dairy, Household Items, Fruits, Vegetables",No,Yes,5,Maybe,Sometimes,Loyalty Points,Disagree,10,No,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,20
5/26/2025 13:23:39,18–25,Female,Namakkal ,"₹20,000 – ₹40,000",10,Yes,Once a week,Afternoon,2000,Cash,No,No,30,"Dairy, Beverages, Personal Care, Fruits & Vegetables",Yes,Sometimes,Come back later,"Snacks, Personal Care, Household Items",No,Yes,6,Yes,Sometimes,Buy 1 Get 1 Free,Agree,20,Yes,"Personal Care, Groceries",Price,Flexible (I have a list but am open to changes),3,No,20
5/26/2025 13:25:29,18–25,Male,Namakkal,"Below ₹20,000",9,Yes,Twice a month,Evening,1500,Cash,Yes,No,30,"Snacks, Dairy, Beverages, Personal Care",Yes,Frequently,Buy an alternative brand/product,"Beverages, Personal Care",No,Yes,5,Yes,Yes,Buy 1 Get 1 Free,Strongly Agree,50,Yes,"Snacks, Personal Care",Convenience,Planner (I make a list and stick to it),4,Yes,20
5/26/2025 13:25:29,18–25,Male,Trichy ,"Above ₹1,00,000",6,Yes,Twice a month,Morning,10000,Debit/Credit Card,No,Yes,40,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Leave without buying,Dairy,Yes,Yes,2,Maybe,Sometimes,Buy 1 Get 1 Free,Neutral,50,No,Personal Care,Quality,Flexible (I have a list but am open to changes),5,Sometimes,45
5/26/2025 13:25:57,26–35,Male,Tirchy,"₹20,000 – ₹40,000",6,Yes,Once a week,Evening,10000,Cash,Yes,No,30,"Snacks, Dairy, Beverages, Fruits & Vegetables",No,Rarely,Buy an alternative brand/product,"Snacks, Dairy, Beverages, Fruits, Vegetables",No,Yes,2,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Strongly Agree,20,Yes,"Snacks, Beverages, Groceries, Fruits & Vegetables",Price,Planner (I make a list and stick to it),5,Yes,80
5/26/2025 13:29:37,18–25,Male,Namakkal,Prefer not to say,4,Yes,Twice a month,Evening,10000,Cash,No,No,60,Dairy,Yes,Sometimes,Come back later,"Dairy, ",No,Yes,5,No,Yes,Cashback,Neutral,5,Yes,Fruits & Vegetables,Quality,Flexible (I have a list but am open to changes),3,No,50
5/26/2025 13:35:26,46–60,Male,Trichy,"₹70,001 – ₹1,00,000",3,Yes,Twice a month,Evening,6000,"Wallets (Paytm, Amazon Pay, etc.)",No,Yes,20,"Groceries, Household Items, Fruits & Vegetables, Packaged Food",Yes,Rarely,Order online,"Personal Care, Fruits, Vegetables",No,No,20,No,Yes,Buy 1 Get 1 Free,Strongly Agree,40,Not Sure,"Personal Care, Fruits & Vegetables",Quality,Impulsive (I shop based on what I see),4,Sometimes,50
5/26/2025 13:46:07,60+,Male,Karur,"₹40,001 – ₹70,000",5,No,Once a week,Morning,1500,Cash,No,Yes,10,"Groceries, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Order online,"Fruits, Vegetables",Yes,No,20,No,Sometimes,Buy 1 Get 1 Free,Strongly Agree,30,Not Sure,"Household Items, Groceries",Price,Planner (I make a list and stick to it),5,Sometimes,10
5/26/2025 13:51:44,26–35,Female,Thanjavur,"₹20,000 – ₹40,000",2,Yes,Twice a month,Afternoon,3500,Debit/Credit Card,Yes,Yes,30,"Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items, Fruits",Yes,Yes,15,Maybe,Sometimes,Loyalty Points,Neutral,40,Not Sure,"Personal Care, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),3,No,30
5/26/2025 13:57:27,18–25,Female,Erode,"₹20,000 – ₹40,000",4,No,2–3 times a week,Afternoon,7000,Debit/Credit Card,Yes,No,45,"Snacks, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Come back later,"Snacks, Dairy, Personal Care",No,Yes,5,No,Sometimes,Flat Discount,Disagree,30,No,"Beverages, Personal Care",Offers/Discounts,Flexible (I have a list but am open to changes),5,Sometimes,45
5/26/2025 14:16:21,46–60,Female,Tirchy,Prefer not to say,6,Yes,Once a week,No fixed time,15000,Cash,Yes,Yes,120,"Groceries, Dairy, Household Items, Fruits & Vegetables, Packaged Food",No,Rarely,Come back later,"Groceries, Beverages, Personal Care, Household Items, Fruits, Vegetables",Yes,Yes,3,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Strongly Disagree,50,Yes,"Snacks, Household Items, Groceries, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),5,Yes,6
5/26/2025 14:19:44,36–45,Female,Salem,"₹20,000 – ₹40,000",9,Yes,Once a week,No fixed time,20000,Debit/Credit Card,Yes,Yes,50,"Snacks, Dairy, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Leave without buying,"Groceries, Snacks, Household Items, Fruits",Yes,Yes,4,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,40,Not Sure,"Personal Care, Household Items, Groceries",Brand,Planner (I make a list and stick to it),4,Yes,60
5/26/2025 14:19:46,18–25,Female,Virudhunagar ,"₹70,001 – ₹1,00,000",3,Yes,Twice a month,Afternoon,8000,UPI (Google Pay/PhonePe etc.),No,No,120,"Snacks, Dairy",Yes,Sometimes,Buy an alternative brand/product,"Dairy, Vegetables",No,No,1,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Strongly Agree,10,Yes,"Snacks, Personal Care",Quality,Flexible (I have a list but am open to changes),3,Yes,60
5/26/2025 14:31:48,26–35,Male,Erode,"₹40,001 – ₹70,000",8,Yes,Once a week,No fixed time,15000,Cash,Yes,Yes,60,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Rarely,Switch to a different store,"Snacks, Beverages, Personal Care",No,Yes,30,Yes,Sometimes,"Buy 1 Get 1 Free, Cashback",Strongly Agree,30,No,"Beverages, Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),3,Sometimes,50
5/26/2025 14:36:49,18–25,Male,Tirchy,Prefer not to say,6,Yes,Rarely,No fixed time,5000,Cash,Yes,Yes,120,"Groceries, Snacks, Household Items",Yes,Rarely,Switch to a different store,Snacks,No,No,2,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,20,Not Sure,"Snacks, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Sometimes,40
5/26/2025 14:49:08,26–35,Female,Salem ,"₹20,000 – ₹40,000",5,No,Rarely,Afternoon,20000,Debit/Credit Card,No,Yes,120,"Snacks, Dairy, Beverages, Personal Care, Household Items",Yes,Frequently,Buy an alternative brand/product,"Beverages, Personal Care",No,No,30,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free",Agree,15,Not Sure,"Beverages, Personal Care, Household Items",Offers/Discounts,Impulsive (I shop based on what I see),5,No,65
5/26/2025 14:49:36,18–25,Male,Erode ,"Above ₹1,00,000",6,Yes,Twice a month,Evening,20000,Debit/Credit Card,No,No,50,"Groceries, Dairy, Personal Care, Household Items",No,Rarely,Order online,"Groceries, Dairy, Personal Care, Fruits, Vegetables",Yes,Yes,4,Maybe,Sometimes,Loyalty Points,Strongly Disagree,50,Yes,"Snacks, Personal Care, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),5,No,20
5/26/2025 14:50:03,18–25,Female,Perambalur,"Below ₹20,000",5,Yes,Once a week,No fixed time,6000,Debit/Credit Card,No,No,45,"Groceries, Snacks, Dairy",No,,,,No,No,4,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Agree,30,Not Sure,"Snacks, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,45
5/26/2025 14:52:31,18–25,Female,Nilgiri,"₹40,001 – ₹70,000",11,Yes,Once a week,Evening,20000,Debit/Credit Card,Yes,Yes,150,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items",Yes,Sometimes,Switch to a different store,"Beverages, Personal Care",Yes,Yes,10,No,Yes,"Buy 1 Get 1 Free, Cashback, Loyalty Points",Disagree,30,No,"Beverages, Personal Care",Brand,Flexible (I have a list but am open to changes),4,Sometimes,30
5/26/2025 14:56:01,36–45,Female,Madurai,"Above ₹1,00,000",7,Yes,2–3 times a week,Morning,2000,Cash,Yes,Yes,30,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Frequently,Order online,"Groceries, Dairy, Fruits, Vegetables",No,Yes,5,No,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,50,Not Sure,"Personal Care, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),5,Sometimes,50
5/26/2025 15:09:55,18–25,Female,Coimbatore,"₹20,000 – ₹40,000",4,Yes,Once a week,Evening,2000,UPI (Google Pay/PhonePe etc.),No,No,30,"Snacks, Dairy, Fruits & Vegetables",Yes,Sometimes,Leave without buying,"Groceries, Dairy",No,Yes,3,Maybe,Yes,"Buy 1 Get 1 Free, Cashback, Loyalty Points",Neutral,20,No,"Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),4,Yes,70
5/26/2025 15:36:37,18–25,Female,Madurai,"Above ₹1,00,000",5,Yes,Twice a month,No fixed time,8000,UPI (Google Pay/PhonePe etc.),No,Yes,120,"Groceries, Snacks, Dairy, Household Items, Fruits & Vegetables",Yes,Rarely,Buy an alternative brand/product,"Groceries, Household Items",No,No,2,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free",Neutral,25,Not Sure,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,10
5/26/2025 17:04:08,18–25,Female,Namakkal,"₹20,000 – ₹40,000",4,Yes,Rarely,No fixed time,3000,UPI (Google Pay/PhonePe etc.),No,No,50,Snacks,No,Rarely,Switch to a different store,"Household Items, ",No,No,10,Maybe,No,Cashback,Strongly Disagree,30,No,Snacks,Quality,Planner (I make a list and stick to it),3,Sometimes,20
5/26/2025 17:34:31,26–35,Male,Perambalur,"₹40,001 – ₹70,000",3,Yes,2–3 times a week,Evening,7000,Cash,Yes,Yes,30,"Snacks, Dairy, Beverages, Personal Care, Household Items",Yes,Sometimes,Leave without buying,"Dairy, Beverages, Personal Care",Yes,Yes,8,No,Sometimes,"Buy 1 Get 1 Free, Cashback",Agree,20,No,"Beverages, Personal Care, Groceries",Quality,Planner (I make a list and stick to it),3,No,30
5/26/2025 19:31:16,60+,Male,Chennai,"₹20,000 – ₹40,000",2,Yes,Rarely,Evening,1000,Cash,No,No,45,"Groceries, Fruits & Vegetables",Yes,Rarely,Buy an alternative brand/product,"Fruits, Vegetables",No,Yes,4,Yes,Yes,"Flat Discount, Cashback",Agree,10,Not Sure,"Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),5,Yes,5
5/26/2025 20:01:20,18–25,Female,Coimbatore,"Below ₹20,000",1,Yes,2–3 times a week,No fixed time,500,UPI (Google Pay/PhonePe etc.),No,No,20,"Groceries, Snacks, Dairy",Yes,Sometimes,Switch to a different store,"Groceries, Dairy",No,Yes,2,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Neutral,30,Yes,"Personal Care, Household Items",Price,Impulsive (I shop based on what I see),5,Sometimes,25
5/26/2025 20:01:55,18–25,Female,Coimbatore ,"₹20,000 – ₹40,000",4,Yes,Twice a month,Evening,3000,Cash,No,Yes,90,Groceries,No,Rarely,Switch to a different store,Beverages,Yes,Yes,2,Yes,Yes,Buy 1 Get 1 Free,Neutral,20,Yes,Household Items,Brand,Planner (I make a list and stick to it),4,Yes,50
5/26/2025 20:04:48,26–35,Male,Palakkad,"₹40,001 – ₹70,000",3,Yes,Twice a month,No fixed time,4000,Debit/Credit Card,Yes,Yes,45,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Rarely,Come back later,"Groceries, Dairy",No,Yes,10,Maybe,Yes,"Flat Discount, Cashback",Agree,50,Yes,"Snacks, Personal Care, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),5,Yes,35
5/26/2025 20:06:54,18–25,Female,Tiruppur,"₹40,001 – ₹70,000",4,Yes,Twice a month,Evening,2000,UPI (Google Pay/PhonePe etc.),Yes,Yes,60,"Groceries, Snacks, Packaged Food",Yes,Sometimes,Order online,"Snacks, Personal Care",Yes,No,7,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free",Neutral,30,Yes,"Snacks, Personal Care, Groceries",Offers/Discounts,Flexible (I have a list but am open to changes),4,Sometimes,50
5/26/2025 20:07:59,36–45,Female,Theni,"₹70,001 – ₹1,00,000",3,Yes,Once a week,Evening,5000,Cash,No,Yes,25,"Groceries, Snacks, Dairy, Beverages, Fruits & Vegetables",Yes,Rarely,Order online,"Groceries, Snacks, Dairy, Beverages, Fruits, Vegetables",Yes,Yes,7,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Strongly Agree,60,Yes,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Convenience,Flexible (I have a list but am open to changes),5,Sometimes,30
5/26/2025 20:11:32,46–60,Male,Palakkad,"₹40,001 – ₹70,000",3,Yes,Twice a month,No fixed time,4500,UPI (Google Pay/PhonePe etc.),No,No,40,"Groceries, Dairy",Yes,Rarely,Switch to a different store,Dairy,Yes,Yes,10,Yes,Sometimes,"Flat Discount, Cashback",Neutral,10,Not Sure,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,30
5/26/2025 20:11:33,36–45,Male,Salem,"₹20,000 – ₹40,000",3,Yes,Twice a month,Evening,8000,UPI (Google Pay/PhonePe etc.),Yes,Yes,30,"Dairy, Beverages, Personal Care, Household Items",Yes,Frequently,Come back later,"Snacks, Beverages, Personal Care",Yes,Yes,10,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,20,No,"Beverages, Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),4,No,20
5/26/2025 20:13:57,18–25,Female,Coimbatore ,"Above ₹1,00,000",4,Yes,Once a week,Evening,30000,UPI (Google Pay/PhonePe etc.),Yes,Yes,30,"Groceries, Snacks, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Leave without buying,"Groceries, Personal Care",No,No,1,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Free Gifts",Neutral,20,Yes,"Personal Care, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),3,Yes,50
5/26/2025 20:17:10,46–60,Male,Pollachi,"₹40,001 – ₹70,000",7,Yes,Once a week,No fixed time,10000,Cash,No,Yes,45,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Leave without buying,"Beverages, Personal Care",Yes,Yes,5,No,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Neutral,40,Not Sure,"Beverages, Personal Care",Offers/Discounts,Flexible (I have a list but am open to changes),4,Sometimes,60
5/26/2025 20:20:27,60+,Male,Thanjavur,"₹40,001 – ₹70,000",4,Yes,2–3 times a week,No fixed time,15000,Debit/Credit Card,Yes,Yes,80,"Dairy, Beverages, Personal Care",Yes,Sometimes,Come back later,"Snacks, Personal Care",Yes,Yes,15,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Loyalty Points",Disagree,30,No,"Beverages, Personal Care",Brand,Flexible (I have a list but am open to changes),3,Sometimes,40
5/26/2025 20:23:03,26–35,Female,Namakkal,"₹70,001 – ₹1,00,000",5,Yes,Once a week,No fixed time,10000,Debit/Credit Card,No,Yes,45,"Snacks, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Snacks, Dairy, Personal Care",Yes,Yes,6,Maybe,Sometimes,"Buy 1 Get 1 Free, Cashback",Agree,30,Yes,"Personal Care, Household Items, Groceries",Price,Planner (I make a list and stick to it),4,No,30
5/26/2025 20:25:11,36–45,Female,Coimbatore,"Below ₹20,000",4,Yes,2–3 times a week,Evening,3000,Cash,No,Yes,60,"Groceries, Dairy, Household Items, Fruits & Vegetables",Yes,Sometimes,Leave without buying,Groceries,No,Yes,2,Yes,Yes,"Flat Discount, Loyalty Points, Free Gifts",Agree,20,No,"Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),3,Yes,10
5/26/2025 20:26:04,26–35,Male,Madurai,"₹40,001 – ₹70,000",4,Yes,Once a week,Evening,5000,Cash,No,Yes,20,"Snacks, Dairy, Beverages, Household Items",Yes,Sometimes,Buy an alternative brand/product,"Dairy, Beverages",No,Yes,3,No,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Neutral,30,No,"Beverages, Household Items",Offers/Discounts,Planner (I make a list and stick to it),3,No,40
5/26/2025 20:28:34,46–60,Male,Chennai,"Above ₹1,00,000",8,Yes,Twice a month,Evening,20000,Debit/Credit Card,Yes,Yes,100,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Order online,"Snacks, Beverages, Personal Care",Yes,Yes,15,Yes,Sometimes,"Flat Discount, Cashback, Loyalty Points",Neutral,35,No,"Beverages, Personal Care, Household Items, Groceries",Quality,Planner (I make a list and stick to it),5,Yes,60
5/26/2025 20:32:41,26–35,Female,Karur,Prefer not to say,10,Yes,Twice a month,Evening,25000,UPI (Google Pay/PhonePe etc.),Yes,Yes,120,"Groceries, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Come back later,"Beverages, Personal Care",No,Yes,3,Maybe,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Strongly Disagree,30,Not Sure,"Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),4,Sometimes,40
