Timestamp,Age Group,Gender,City or Town of Residence,Monthly Household Income Range,Household Size (Number input),Access to Vehicle,How often do you shop at supermarkets?,When do you usually shop?,How much do you typically spend on groceries per month? (Numeric input),Preferred payment method,Do you use any price comparison or shopping apps before buying?,Are you a loyalty card member for any store?,How much time do you usually spend during one shopping trip? (in minutes) (Numeric input),Which product categories do you frequently buy? (Select all that apply),Have you faced stock-outs while shopping?,(If yes) How frequently do you find your preferred items out of stock?,(If yes) How do you react when an item is out of stock?,(If yes) Which product categories are often out of stock in your experience? (Select all that apply),Do you check online for availability before visiting a store?,Are you willing to pre-order if items are out of stock?,What is the acceptable wait time for restocking (in days)? (Numeric input),Would you switch to another store if your preferred items are frequently out of stock?,Do you prefer shopping when offers are available?,Which offer types do you prefer?  (Select all that apply),Do offers influence your purchase decision?,"By what percentage do you typically increase the amount of money spent compared to your usual purchases? (For example, enter 20 if you spend 20% more during offers.)",Do you shop more frequently during offers?,Which categories do you prefer to buy during offers? (Select all that apply),What influences your purchase the most?,How would you describe your shopping style?,"On a scale of 1–5, how loyal are you to your preferred brands? (Ratings: 1 = Not at all, 5 = Very loyal)",Do you consider eco-friendliness when choosing a product?,How likely are you to switch to online shopping in the next 12 months? (% probability) (Numeric input: 0 to 100)
5/26/2025 20:36:04,18–25,Female,Dindigul,"₹20,000 – ₹40,000",8,Yes,Once a week,No fixed time,10000,Cash,No,Yes,20,"Groceries, Snacks, Dairy, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,Household Items,Yes,Yes,2,Yes,Sometimes,"Flat Discount, Free Gifts",Neutral,20,Yes,"Snacks, Household Items",Price,Flexible (I have a list but am open to changes),3,No,50
5/26/2025 20:38:38,26–35,Male,Erode,"₹40,001 – ₹70,000",5,Yes,Twice a month,No fixed time,7000,Debit/Credit Card,Yes,Yes,30,"Beverages, Personal Care, Packaged Food",Yes,Frequently,Switch to a different store,"Dairy, Beverages, Household Items",Yes,Yes,4,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,50,No,"Snacks, Beverages, Personal Care",Quality,Planner (I make a list and stick to it),2,Sometimes,70
5/26/2025 20:41:19,46–60,Male,Salem,"₹70,001 – ₹1,00,000",4,Yes,Twice a month,No fixed time,20000,UPI (Google Pay/PhonePe etc.),No,No,20,"Groceries, Dairy, Beverages, Household Items, Fruits & Vegetables",Yes,Frequently,Buy an alternative brand/product,"Groceries, Household Items",No,No,5,Maybe,Sometimes,"Buy 1 Get 1 Free, Cashback",Neutral,25,No,"Snacks, Household Items",Price,Flexible (I have a list but am open to changes),3,Sometimes,30
5/26/2025 21:13:51,46–60,Male,Dindigul,"₹40,001 – ₹70,000",3,Yes,Once a week,Evening,6000,Cash,Yes,Yes,30,"Beverages, Personal Care, Household Items",Yes,Sometimes,Come back later,"Groceries, Beverages, Household Items",No,Yes,3,No,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Strongly Agree,40,Yes,"Beverages, Personal Care, Household Items",Brand,Planner (I make a list and stick to it),2,No,40
5/26/2025 21:17:37,18–25,Female,Chennai,"Above ₹1,00,000",6,Yes,Once a week,No fixed time,30000,Cash,Yes,Yes,30,"Beverages, Personal Care, Household Items",Yes,Frequently,Leave without buying,"Groceries, Snacks, Beverages, Personal Care",No,No,6,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free",Neutral,60,Not Sure,"Personal Care, Household Items",Quality,Planner (I make a list and stick to it),3,No,60
5/26/2025 21:18:02,18–25,Male,Erode,"₹20,000 – ₹40,000",8,Yes,2–3 times a week,Evening,40000,UPI (Google Pay/PhonePe etc.),Yes,Yes,60,"Groceries, Beverages",No,Sometimes,Order online,Beverages,Yes,Yes,7,Yes,Yes,Flat Discount,Strongly Agree,30,Yes,Beverages,Price,Planner (I make a list and stick to it),4,Yes,70
5/26/2025 21:23:02,36–45,Male,Coimbatore,"₹40,001 – ₹70,000",2,Yes,Once a week,No fixed time,7000,Debit/Credit Card,Yes,Yes,50,"Dairy, Beverages, Personal Care, Household Items",No,Sometimes,Buy an alternative brand/product,"Groceries, Beverages, Personal Care",Yes,Yes,5,Maybe,No,"Buy 1 Get 1 Free, Cashback",Agree,60,Not Sure,"Beverages, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),3,Sometimes,50
5/26/2025 21:25:28,46–60,Female,Tiruppur,"₹20,000 – ₹40,000",4,Yes,Rarely,Evening,17000,UPI (Google Pay/PhonePe etc.),Yes,Yes,50,"Groceries, Beverages, Personal Care",Yes,Rarely,Buy an alternative brand/product,"Dairy, Personal Care, Fruits",Yes,Yes,8,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free",Disagree,30,Not Sure,"Personal Care, Household Items",Brand,Flexible (I have a list but am open to changes),5,Yes,60
5/26/2025 21:25:48,60+,Male,Namakkal,"Above ₹1,00,000",12,Yes,2–3 times a week,Evening,15000,Debit/Credit Card,Yes,No,90,Snacks,Yes,Frequently,Buy an alternative brand/product,Beverages,Yes,Yes,9,Yes,Yes,Flat Discount,Strongly Agree,70,Yes,Beverages,Price,Planner (I make a list and stick to it),5,Yes,80
5/26/2025 21:31:01,18–25,Female,Coimbatore ,"Below ₹20,000",4,Yes,Rarely,Evening,7000,Cash,No,No,45,"Groceries, Dairy, Household Items, Fruits & Vegetables",Yes,Rarely,Leave without buying,"Groceries, Fruits, Vegetables",No,Yes,3,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Strongly Agree,40,Not Sure,"Snacks, Household Items, Groceries, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),4,Yes,30
5/26/2025 22:11:42,46–60,Female,Udumalpet,"₹40,001 – ₹70,000",4,Yes,Twice a month,Evening,2000,UPI (Google Pay/PhonePe etc.),No,No,30,Fruits & Vegetables,Yes,Sometimes,Switch to a different store,Groceries,No,No,7,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Agree,20,Not Sure,"Personal Care, Groceries",Offers/Discounts,Planner (I make a list and stick to it),4,Yes,50
5/27/2025 8:55:27,26–35,Female,Chennai,"₹40,001 – ₹70,000",6,Yes,Twice a month,No fixed time,8000,Cash,Yes,Yes,40,"Groceries, Snacks, Dairy, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Come back later,"Snacks, Household Items",Yes,Yes,7,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,30,Not Sure,"Snacks, Household Items, Groceries",Quality,Planner (I make a list and stick to it),4,Sometimes,50
5/27/2025 8:58:32,46–60,Male,Tiruppur,"₹70,001 – ₹1,00,000",3,Yes,Once a week,Evening,5000,UPI (Google Pay/PhonePe etc.),Yes,Yes,20,"Snacks, Dairy, Household Items, Fruits & Vegetables",Yes,Frequently,Buy an alternative brand/product,"Snacks, Household Items",No,Yes,5,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Agree,40,Not Sure,"Snacks, Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),4,No,10
5/27/2025 9:02:38,18–25,Female,Kanyakumari,"₹40,001 – ₹70,000",5,Yes,Twice a month,No fixed time,6000,UPI (Google Pay/PhonePe etc.),No,No,15,"Groceries, Dairy, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Snacks, Household Items",No,Yes,3,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Strongly Agree,20,Yes,"Snacks, Household Items, Groceries",Price,Flexible (I have a list but am open to changes),2,No,10
5/27/2025 9:05:21,36–45,Male,Dindigul,"₹20,000 – ₹40,000",1,Yes,Rarely,Evening,5500,Debit/Credit Card,No,Yes,25,"Snacks, Personal Care, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Come back later,Personal Care,No,Yes,7,Yes,Sometimes,"Flat Discount, Cashback, Free Gifts",Agree,40,Yes,"Snacks, Household Items",Brand,Planner (I make a list and stick to it),5,Yes,100
5/27/2025 9:07:47,18–25,Male,Madurai,"Above ₹1,00,000",8,Yes,Once a week,Evening,15000,UPI (Google Pay/PhonePe etc.),No,No,45,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items",No,Yes,4,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,20,Not Sure,"Personal Care, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),4,Yes,60
5/27/2025 9:11:28,26–35,Female,Coimbatore,"₹40,001 – ₹70,000",3,Yes,Once a week,No fixed time,9000,UPI (Google Pay/PhonePe etc.),No,No,60,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items",No,Yes,7,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Strongly Disagree,30,Not Sure,"Personal Care, Household Items",Price,Planner (I make a list and stick to it),3,Sometimes,50
5/27/2025 9:14:00,46–60,Male,Coimbatore,"Above ₹1,00,000",4,Yes,Once a week,Evening,15000,Debit/Credit Card,No,No,120,"Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Come back later,"Personal Care, Household Items",No,Yes,2,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,40,Not Sure,"Snacks, Personal Care, Household Items",Quality,Planner (I make a list and stick to it),5,Sometimes,20
5/27/2025 9:17:45,26–35,Male,Nagapattinam,"₹40,001 – ₹70,000",7,Yes,Once a week,No fixed time,6000,UPI (Google Pay/PhonePe etc.),No,No,45,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Frequently,Switch to a different store,"Personal Care, Household Items",No,Yes,5,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Loyalty Points, Free Gifts",Strongly Agree,40,Yes,"Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),5,Yes,50
5/27/2025 9:22:17,60+,Male,Chennai,"₹20,000 – ₹40,000",2,Yes,Twice a month,No fixed time,5000,Cash,No,No,30,"Groceries, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Leave without buying,"Groceries, Personal Care, Household Items",No,Yes,5,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Strongly Disagree,30,Yes,"Beverages, Personal Care",Price,Flexible (I have a list but am open to changes),4,Sometimes,40
5/27/2025 9:24:27,26–35,Female,Namakkal,"₹40,001 – ₹70,000",5,Yes,Twice a month,Evening,6000,UPI (Google Pay/PhonePe etc.),No,Yes,30,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items",No,Yes,6,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,20,Not Sure,"Personal Care, Household Items, Groceries",Price,Flexible (I have a list but am open to changes),3,No,15
5/27/2025 9:48:36,46–60,Female,Udumalpet,"₹20,000 – ₹40,000",4,No,Twice a month,Evening,6000,Cash,No,No,45,"Groceries, Snacks, Dairy, Fruits & Vegetables",Yes,Rarely,Order online,"Groceries, Dairy",No,Yes,5,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Agree,30,Not Sure,"Snacks, Personal Care, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),4,Sometimes,40
5/27/2025 10:21:23,18–25,Female,Erode,"Above ₹1,00,000",5,Yes,Twice a month,Evening,7000,UPI (Google Pay/PhonePe etc.),No,No,30,"Groceries, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items",No,Yes,6,Yes,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Neutral,20,Not Sure,"Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),3,Sometimes,30
5/27/2025 10:23:12,26–35,Male,Trichy,"₹70,001 – ₹1,00,000",3,Yes,Twice a month,Evening,5000,Cash,No,No,20,"Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Come back later,"Groceries, Personal Care, Household Items",No,No,8,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Strongly Agree,30,Yes,"Snacks, Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),3,Sometimes,60
5/27/2025 10:25:17,46–60,Female,Kanyakumari,"₹70,001 – ₹1,00,000",6,Yes,2–3 times a week,No fixed time,10000,Debit/Credit Card,No,No,60,"Groceries, Beverages, Personal Care",Yes,Sometimes,Switch to a different store,"Groceries, Personal Care, Household Items, Vegetables",No,Yes,3,Maybe,Sometimes,"Buy 1 Get 1 Free, Loyalty Points, Free Gifts",Agree,40,Yes,"Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),3,Yes,10
5/27/2025 10:29:19,36–45,Female,Namakkal,"₹40,001 – ₹70,000",3,Yes,Twice a month,No fixed time,5000,UPI (Google Pay/PhonePe etc.),No,Yes,60,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Groceries, Snacks, Dairy, Beverages, Personal Care",No,No,6,No,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Strongly Agree,20,Not Sure,"Snacks, Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),3,Sometimes,30
5/27/2025 10:32:21,18–25,Female,Coimbatore,"₹20,000 – ₹40,000",4,Yes,Twice a month,No fixed time,7000,UPI (Google Pay/PhonePe etc.),No,No,30,"Groceries, Beverages, Personal Care, Household Items",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items, Fruits, Vegetables",No,Yes,7,Yes,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Agree,40,Not Sure,"Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),3,Yes,30
5/27/2025 10:36:23,18–25,Male,Namakkal,"₹40,001 – ₹70,000",3,Yes,Twice a month,No fixed time,8000,UPI (Google Pay/PhonePe etc.),No,Yes,120,"Groceries, Beverages, Personal Care, Household Items",Yes,Frequently,Buy an alternative brand/product,"Beverages, Personal Care, Fruits",Yes,Yes,5,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Strongly Agree,20,Yes,"Beverages, Personal Care, Household Items, Groceries",Price,Flexible (I have a list but am open to changes),1,No,40
5/27/2025 10:39:32,36–45,Female,Chennai,"₹20,000 – ₹40,000",4,Yes,Twice a month,No fixed time,10000,UPI (Google Pay/PhonePe etc.),Yes,Yes,50,"Groceries, Snacks, Personal Care, Fruits & Vegetables, Packaged Food",Yes,Frequently,Switch to a different store,"Dairy, Beverages, Personal Care",No,Yes,5,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,20,Yes,"Beverages, Personal Care, Household Items",Quality,Planner (I make a list and stick to it),5,Sometimes,50
5/27/2025 10:41:18,26–35,Male,Chennai,"₹70,001 – ₹1,00,000",5,Yes,Twice a month,Evening,15000,UPI (Google Pay/PhonePe etc.),Yes,Yes,45,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Dairy, Personal Care",Yes,No,4,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Loyalty Points",Agree,30,Yes,"Beverages, Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),2,No,30
5/27/2025 10:43:18,46–60,Female,Coimbatore,"₹20,000 – ₹40,000",2,Yes,Twice a month,Evening,5000,UPI (Google Pay/PhonePe etc.),No,Yes,30,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Frequently,Buy an alternative brand/product,"Groceries, Household Items, Fruits, Vegetables",No,Yes,7,Yes,Yes,"Buy 1 Get 1 Free, Loyalty Points",Agree,20,Yes,"Personal Care, Groceries",Quality,Flexible (I have a list but am open to changes),1,No,50
5/27/2025 11:11:11,18–25,Female,Madurai,"₹40,001 – ₹70,000",2,Yes,Twice a month,Evening,5000,Cash,Yes,Yes,40,"Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Switch to a different store,"Personal Care, Fruits",No,Yes,10,Maybe,Sometimes,"Buy 1 Get 1 Free, Free Gifts",Neutral,20,Not Sure,"Personal Care, Household Items, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),3,No,50
5/27/2025 11:13:31,36–45,Male,Erode,"₹40,001 – ₹70,000",5,Yes,Twice a month,No fixed time,7000,UPI (Google Pay/PhonePe etc.),No,No,10,"Dairy, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Order online,"Beverages, Personal Care, Household Items",Yes,Yes,3,Maybe,Sometimes,"Cashback, Loyalty Points, Free Gifts",Agree,30,Not Sure,"Personal Care, Household Items",Price,Planner (I make a list and stick to it),5,Yes,100
5/27/2025 11:16:11,26–35,Female,Coimbatore,"Above ₹1,00,000",6,Yes,Once a week,Evening,20000,Debit/Credit Card,Yes,Yes,120,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Snacks, Beverages, Personal Care, Household Items",No,Yes,5,Maybe,Yes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,40,Yes,"Beverages, Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),4,Sometimes,50
5/27/2025 11:34:05,18–25,Female,Namakkal,"₹40,001 – ₹70,000",5,Yes,Once a week,No fixed time,8000,UPI (Google Pay/PhonePe etc.),Yes,No,30,"Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Dairy, Beverages, Personal Care, Household Items",Yes,Yes,4,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,20,Not Sure,"Beverages, Personal Care, Household Items",Quality,Flexible (I have a list but am open to changes),3,Sometimes,30
5/27/2025 11:45:02,18–25,Female,Coimbatore,"₹40,001 – ₹70,000",5,Yes,2–3 times a week,Evening,2000,UPI (Google Pay/PhonePe etc.),Yes,Yes,120,"Groceries, Snacks, Dairy",Yes,Sometimes,Come back later,"Groceries, Snacks, Personal Care",Yes,Yes,10,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,20,Yes,"Beverages, Personal Care",Quality,Flexible (I have a list but am open to changes),5,No,50
5/27/2025 12:17:55,46–60,Male,Salem,"₹20,000 – ₹40,000",3,Yes,Twice a month,Evening,8000,UPI (Google Pay/PhonePe etc.),No,No,60,"Beverages, Personal Care, Household Items, Fruits & Vegetables",No,Sometimes,Switch to a different store,"Groceries, Dairy, Beverages, Personal Care, Household Items",No,Yes,8,Yes,Yes,"Cashback, Free Gifts",Neutral,40,Yes,"Personal Care, Household Items",Quality,Planner (I make a list and stick to it),4,Sometimes,10
5/27/2025 12:20:06,36–45,Female,Chennai,"₹70,001 – ₹1,00,000",6,Yes,Twice a month,Evening,15000,UPI (Google Pay/PhonePe etc.),Yes,No,60,"Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Buy an alternative brand/product,"Beverages, Personal Care, Fruits",No,Yes,7,Maybe,Sometimes,"Buy 1 Get 1 Free, Loyalty Points",Neutral,20,Not Sure,"Personal Care, Household Items",Price,Planner (I make a list and stick to it),2,Yes,30
5/27/2025 14:38:16,18–25,Male,Hosur,"Above ₹1,00,000",8,Yes,Once a week,Evening,20000,Cash,Yes,No,10,"Groceries, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",No,Rarely,Come back later,"Snacks, Beverages, Personal Care, Household Items, Fruits, Vegetables",No,No,3,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Loyalty Points",Neutral,60,No,"Snacks, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),4,No,50
5/27/2025 14:43:50,26–35,Male,Tiruppur,"Above ₹1,00,000",5,Yes,Once a week,No fixed time,20000,UPI (Google Pay/PhonePe etc.),No,No,20,"Groceries, Snacks, Beverages, Household Items, Fruits & Vegetables",No,Rarely,Order online,"Household Items, Fruits, Vegetables",No,No,2,Maybe,Sometimes,"Buy 1 Get 1 Free, Cashback",Neutral,45,Not Sure,"Beverages, Household Items, Fruits & Vegetables",Brand,Flexible (I have a list but am open to changes),3,Sometimes,70
5/27/2025 14:51:13,18–25,Male,Ramanathapuram,"Above ₹1,00,000",8,Yes,Once a week,Morning,15000,UPI (Google Pay/PhonePe etc.),No,Yes,20,"Groceries, Beverages, Household Items, Fruits & Vegetables",No,Rarely,Order online,"Groceries, Dairy, Fruits, Vegetables",No,No,2,Maybe,Sometimes,"Buy 1 Get 1 Free, Cashback",Neutral,30,Not Sure,"Beverages, Personal Care, Groceries",Quality,Flexible (I have a list but am open to changes),2,Sometimes,75
5/27/2025 15:08:00,46–60,Female,Coimbatore,"₹40,001 – ₹70,000",4,Yes,Twice a month,No fixed time,6000,UPI (Google Pay/PhonePe etc.),No,No,30,"Groceries, Beverages, Personal Care, Household Items",Yes,Sometimes,Switch to a different store,"Beverages, Personal Care",No,Yes,5,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,40,Not Sure,"Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),3,No,50
5/27/2025 15:10:04,36–45,Female,Chennai,"₹20,000 – ₹40,000",2,Yes,Twice a month,Evening,4000,UPI (Google Pay/PhonePe etc.),No,No,70,"Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Frequently,Buy an alternative brand/product,"Groceries, Personal Care, Household Items",Yes,No,8,Maybe,Sometimes,"Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,30,No,"Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),1,No,60
5/27/2025 15:13:39,18–25,Male,Erode,"₹40,001 – ₹70,000",4,Yes,Twice a month,No fixed time,7000,Cash,No,No,30,"Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Come back later,"Beverages, Personal Care, Household Items, Fruits",Yes,Yes,15,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free",Agree,30,Yes,"Personal Care, Household Items, Groceries",Quality,Flexible (I have a list but am open to changes),4,Sometimes,50
5/27/2025 15:14:56,18–25,Male,Trichy,"Above ₹1,00,000",6,Yes,Once a week,Afternoon,15000,UPI (Google Pay/PhonePe etc.),No,Yes,10,"Groceries, Beverages, Household Items, Fruits & Vegetables",No,Rarely,Order online,"Groceries, Household Items, Fruits, Vegetables",No,No,3,Maybe,Sometimes,Cashback,Neutral,50,Not Sure,"Personal Care, Household Items, Fruits & Vegetables",Brand,Flexible (I have a list but am open to changes),2,Sometimes,45
5/27/2025 15:15:41,26–35,Female,Pollachi,"₹70,001 – ₹1,00,000",8,Yes,Twice a month,Evening,10000,UPI (Google Pay/PhonePe etc.),Yes,Yes,120,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items, Fruits",No,Yes,7,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Agree,40,Yes,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),5,Sometimes,60
5/27/2025 15:17:43,Under 18,Female,Coimbatore,Prefer not to say,5,No,Daily,Morning,1000,Cash,No,No,90,"Snacks, Dairy, Beverages",Yes,Sometimes,Come back later,Dairy,No,No,2,Yes,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,50,Not Sure,"Snacks, Beverages, Groceries",Offers/Discounts,Impulsive (I shop based on what I see),5,Sometimes,60
5/27/2025 15:18:02,18–25,Female,Dindigul,"₹20,000 – ₹40,000",5,Yes,Once a week,No fixed time,7500,Cash,No,Yes,45,"Dairy, Beverages, Personal Care, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Switch to a different store,"Personal Care, Household Items",No,Yes,5,Maybe,Yes,"Buy 1 Get 1 Free, Cashback, Loyalty Points, Free Gifts",Neutral,30,Yes,"Personal Care, Household Items, Groceries",Price,Planner (I make a list and stick to it),4,No,45
5/27/2025 15:23:14,26–35,Male,Coimbatore,"₹20,000 – ₹40,000",3,Yes,2–3 times a week,Evening,10000,UPI (Google Pay/PhonePe etc.),No,Yes,60,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Buy an alternative brand/product,"Dairy, Beverages, Personal Care",No,Yes,10,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Agree,40,No,"Beverages, Personal Care, Household Items",Price,Flexible (I have a list but am open to changes),3,Yes,65
5/27/2025 15:24:10,18–25,Male,Chennai ,"Above ₹1,00,000",4,Yes,Once a week,Afternoon,10000,UPI (Google Pay/PhonePe etc.),Yes,Yes,5,"Groceries, Dairy, Beverages, Household Items, Fruits & Vegetables",Yes,Sometimes,Order online,"Groceries, Beverages, Household Items, Vegetables",No,No,1,Maybe,Sometimes,Buy 1 Get 1 Free,Strongly Agree,40,Not Sure,"Beverages, Personal Care, Groceries",Offers/Discounts,Flexible (I have a list but am open to changes),4,Sometimes,20
5/27/2025 15:24:28,60+,Male,Salem,"₹40,001 – ₹70,000",3,Yes,2–3 times a week,Evening,2000,Debit/Credit Card,No,Yes,30,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Rarely,Switch to a different store,Groceries,No,No,4,Yes,Sometimes,"Flat Discount, Cashback, Loyalty Points, Free Gifts",Strongly Agree,30,Not Sure,"Personal Care, Household Items",Quality,Planner (I make a list and stick to it),4,Sometimes,10
5/27/2025 15:25:00,18–25,Female,Trichy,"₹70,001 – ₹1,00,000",4,Yes,Once a week,Evening,9000,Cash,Yes,Yes,110,"Dairy, Beverages, Personal Care",Yes,Frequently,Leave without buying,"Beverages, Personal Care, Household Items",Yes,Yes,8,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free",Disagree,20,No,"Beverages, Personal Care, Household Items",Quality,Planner (I make a list and stick to it),2,Sometimes,70